"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.343",3604,"2,772,300","8,082,507","5,775,625"
"Common carp","1500","3","0.68",2608,"1,738,780","2,557,029","5,216,340"
"Whiteleg shrimp","17","0.411","0.17",23,"1,324,118","7,788,927","543,785"
"Bighead carp","1500","3","0.68",643,"428,407","630,010","1,285,220"
"North African catfish","1500","1","0.3",307,"204,347","681,156","204,347"
"Silver carp","1500","3","0.68",240,"160,153","235,520","480,460"
"Sea trout","1300","2.083","0.343",15,"11,308","32,967","23,558"
"Sturgeons nei","6000","1","0.3",25,"4,235","14,117","4,235"
"Cyprinids nei","1500","3","0.68",3,"1,687","2,480","5,060"
"Crucian carp","1500","3","0.68",0,"33","49","100"
"Goldfish","","","",223,"","",""
"Danube sturgeon(=Osetr)","","","",127,"","",""
"Grass carp(=White amur)","","","",122,"","",""
"Wels(=Som) catfish","","","",71,"","",""
"Siberian sturgeon","","","",29,"","",""
"Pike-perch","","","",18,"","",""
"Beluga","","","",8,"","",""
"Channel catfish","","","",7,"","",""
"Mississippi paddlefish","","","",6,"","",""
"Northern pike","","","",4,"","",""
"Bleak","","","",1,"","",""
"Danube crayfish","","","",1,"","",""
"Brook trout","","","",1,"","",""
"Danube bleak","","","",0,"","",""
"Sterlet sturgeon","","","",0,"","",""
"Noble crayfish","","","",0,"","",""
"Rudd","","","",0,"","",""
"European perch","","","",0,"","",""
"Black carp","","","",0,"","",""
