"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.343",24470,"18,823,077","54,877,775","39,214,744"
"Atlantic salmon","4600","2.083","0.376",1165,"253,261","673,566","527,627"
"Sea trout","1300","2.083","0.343",51,"39,231","114,375","81,731"
"Sturgeons nei","6000","1","0.3",2,"283","944","283"
"Freshwater siluroids nei","","","",2200,"","",""
"European eel","","","",451,"","",""
"Yellowtail amberjack","","","",377,"","",""
"Pike-perch","","","",339,"","",""
"Chars nei","","","",215,"","",""
"Striped bass, hybrid","","","",80,"","",""
"Brook trout","","","",16,"","",""
