"Partner Country","Species","Quantity (t)"
"Spain","Bass and bream","1,305"
"Spain","Salmonids","1,139"
"Italy","Salmonids","436"
"Italy","Bass and bream","194"
"Other","Salmonids","185"
"Other","Bass and bream","97"
"France","Bass and bream","59"
"Croatia","Salmonids","39"
"France","Salmonids","38"
"Cyprus","Bass and bream","35"
"Switzerland","Salmonids","35"
"Switzerland","Bass and bream","34"
"Algeria","Salmonids","20"
"Montenegro","Salmonids","18"
"Romania","Bass and bream","14"
"Germany","Salmonids","13"
"Germany","Bass and bream","7"
"Sweden","Bass and bream","6"
"United Kingdom","Salmonids","5"
"United Kingdom","Bass and bream","5"
"Slovenia","Salmonids","4"
"Sweden","Salmonids","3"
"Bosnia and Herzegovina","Salmonids","3"
"Belgium","Salmonids","2"
"Malta","Salmonids","2"
"Montenegro","Bass and bream","2"
"Belgium","Bass and bream","2"
"Netherlands","Salmonids","2"
"Czechia","Salmonids","1"
"Bulgaria","Salmonids","1"
"Czechia","Bass and bream","1"
"Other","Carp","0"
"Poland","Bass and bream","0"
"Cyprus","Salmonids","0"
"Netherlands","Bass and bream","0"
"Croatia","Bass and bream","0"
"Ireland","Salmonids","0"
"Austria","Bass and bream","0"
"Austria","Salmonids","0"
"Poland","Salmonids","0"
"Andorra","Salmonids","0"
"Ireland","Bass and bream","0"
"Slovakia","Salmonids","0"
"Denmark","Salmonids","0"
"Greece","Salmonids","0"
"Hungary","Salmonids","0"
"Romania","Salmonids","0"
"Estonia","Salmonids","0"
"Lithuania","Salmonids","0"
