"Partner Country","Species","Quantity (t)"
"Sweden","Salmonids","69,954"
"Greece","Bass and bream","36,441"
"Denmark","Salmonids","10,130"
"Türkiye","Bass and bream","9,046"
"Other","Salmonids","8,127"
"Netherlands","Salmonids","4,343"
"Germany","Salmonids","1,510"
"Morocco","Bass and bream","1,506"
"France","Bass and bream","1,418"
"Italy","Bass and bream","1,418"
"Finland","Salmonids","1,398"
"Netherlands","Bass and bream","1,370"
"Italy","Salmonids","1,345"
"Other","Bass and bream","1,154"
"France","Salmonids","1,036"
"Poland","Salmonids","1,021"
"Portugal","Bass and bream","694"
"Croatia","Bass and bream","627"
"Portugal","Salmonids","546"
"Norway","Salmonids","421"
"Estonia","Salmonids","171"
"Slovenia","Bass and bream","83"
"Faroe Islands","Salmonids","59"
"Ireland","Salmonids","50"
"Greece","Salmonids","38"
"Belgium","Salmonids","25"
"Ireland","Bass and bream","24"
"Denmark","Bass and bream","23"
"Slovenia","Salmonids","21"
"Iceland","Salmonids","18"
"United Kingdom","Salmonids","12"
"Netherlands","Carp","9"
"Bulgaria","Bass and bream","6"
"Tunisia","Bass and bream","6"
"Cyprus","Bass and bream","4"
"Latvia","Salmonids","4"
"France","Carp","1"
"Germany","Bass and bream","1"
"Sweden","Bass and bream","0"
"Portugal","Carp","0"
"Belgium","Bass and bream","0"
"Bulgaria","Carp","0"
"Iceland","Bass and bream","0"
"Ireland","Carp","0"
"Türkiye","Carp","0"
"Czechia","Salmonids","0"
"Germany","Carp","0"
"Malta","Salmonids","0"
"Türkiye","Salmonids","0"
"Lithuania","Salmonids","0"
"Hungary","Salmonids","0"
