"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Common carp","1000","0.375","0.5",4991,"4,990,700","9,981,400","1,871,512"
"Crucian carp","375","0.5","0.05",462,"1,231,733","24,634,667","615,867"
"Silver carp","1000","0.917","0.25",951,"951,000","3,804,000","871,750"
"Rainbow trout","4000","1.125","0.19",255,"63,700","335,263","71,662"
"Grass carp(=White amur)","4500","2","0.25",266,"59,200","236,800","118,400"
"North African catfish","500","0.667","0.4",2,"4,000","10,000","2,667"
"Northern pike","","","",97,"","",""
"Freshwater fishes nei","","","",69,"","",""
"Siberian sturgeon","","","",48,"","",""
"Wels(=Som) catfish","","","",19,"","",""
"Sterlet sturgeon","","","",5,"","",""
