"Partner Country","Species","Quantity (t)"
"Lithuania","Salmonids","1,782"
"Estonia","Salmonids","1,436"
"Other","Salmonids","1,373"
"Denmark","Salmonids","1,344"
"Germany","Salmonids","410"
"Poland","Salmonids","299"
"Spain","Salmonids","227"
"Italy","Salmonids","217"
"France","Salmonids","173"
"Austria","Salmonids","132"
"Czechia","Salmonids","107"
"Slovakia","Salmonids","90"
"Finland","Salmonids","58"
"Hungary","Salmonids","56"
"Moldova","Salmonids","40"
"Netherlands","Salmonids","40"
"Cyprus","Salmonids","34"
"Bulgaria","Salmonids","27"
"Estonia","Bass and bream","26"
"Serbia","Salmonids","26"
"Lithuania","Carp","21"
"Egypt","Salmonids","17"
"Greece","Salmonids","17"
"Lithuania","Bass and bream","12"
"United Kingdom","Salmonids","11"
"Belgium","Salmonids","11"
"Portugal","Salmonids","10"
"Bosnia and Herzegovina","Salmonids","7"
"Romania","Salmonids","6"
"Sweden","Salmonids","4"
"Ireland","Carp","4"
"Malta","Salmonids","4"
"Netherlands","Carp","4"
"Croatia","Salmonids","3"
"United Kingdom","Carp","3"
"Estonia","Carp","3"
"Norway","Carp","3"
"Ireland","Salmonids","2"
"Germany","Carp","2"
"Italy","Carp","1"
"Spain","Carp","1"
"Norway","Bass and bream","0"
"Norway","Salmonids","0"
