"Partner Country","Species","Quantity (t)"
"Netherlands","Salmonids","6,549"
"France","Salmonids","3,366"
"Austria","Salmonids","2,170"
"Other","Salmonids","1,264"
"France","Carp","1,225"
"Lithuania","Salmonids","698"
"Germany","Salmonids","601"
"United Kingdom","Salmonids","414"
"Ireland","Salmonids","387"
"Poland","Salmonids","165"
"Italy","Salmonids","154"
"Netherlands","Carp","148"
"Netherlands","Bass and bream","105"
"France","Bass and bream","90"
"Other","Bass and bream","61"
"Spain","Salmonids","44"
"Denmark","Salmonids","33"
"Greece","Salmonids","32"
"Germany","Carp","31"
"Spain","Carp","21"
"Algeria","Salmonids","13"
"Switzerland","Salmonids","8"
"Sweden","Salmonids","7"
"Germany","Bass and bream","7"
"Malta","Salmonids","6"
"Norway","Salmonids","4"
"Austria","Bass and bream","3"
"Other","Carp","1"
"Portugal","Salmonids","1"
"Cyprus","Salmonids","1"
"Denmark","Bass and bream","1"
"Spain","Bass and bream","0"
"Tunisia","Bass and bream","0"
"Bulgaria","Salmonids","0"
"Estonia","Salmonids","0"
"Czechia","Salmonids","0"
"Slovakia","Salmonids","0"
"Sweden","Bass and bream","0"
