"Partner Country","Species","Quantity (t)"
"France","Salmonids","4,300"
"Poland","Salmonids","3,721"
"United Kingdom","Salmonids","1,913"
"Germany","Salmonids","844"
"France","Bass and bream","569"
"Netherlands","Salmonids","468"
"United Kingdom","Bass and bream","429"
"Other","Salmonids","296"
"Switzerland","Salmonids","241"
"Lithuania","Salmonids","114"
"Spain","Salmonids","100"
"Belgium","Bass and bream","64"
"Denmark","Salmonids","56"
"Austria","Salmonids","55"
"Italy","Salmonids","43"
"Belgium","Salmonids","25"
"Netherlands","Bass and bream","20"
"Spain","Bass and bream","14"
"Poland","Bass and bream","12"
"Germany","Bass and bream","11"
"Portugal","Salmonids","5"
"Sweden","Salmonids","5"
"Greece","Salmonids","5"
"Hungary","Salmonids","2"
"Cyprus","Salmonids","1"
"Italy","Bass and bream","1"
"Malta","Salmonids","1"
"Finland","Salmonids","1"
"United Kingdom","Carp","1"
"Bulgaria","Salmonids","1"
"Sweden","Bass and bream","1"
"Denmark","Bass and bream","1"
"Portugal","Bass and bream","0"
"Finland","Bass and bream","0"
"Greece","Bass and bream","0"
"Austria","Bass and bream","0"
"Iceland","Salmonids","0"
"Norway","Salmonids","0"
"Andorra","Salmonids","0"
"Morocco","Salmonids","0"
